COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Judge, Court of Criminal Appeals, Place 3","REP Judge, Court of Criminal Appeals, Place 3","REP Judge, Court of Criminal Appeals, Place 3","REP Judge, Court of Criminal Appeals, Place 3","REP Justice of the Peace, Precinct No. 4","REP Justice of the Peace, Precinct No. 4","REP Justice of the Peace, Precinct No. 4","REP Justice of the Peace, Precinct No. 4",REP Precinct Chair No. 114,REP Precinct Chair No. 114,REP Precinct Chair No. 114,REP Precinct Chair No. 114,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,
CAMER,0013,"PCT 015, 049, 067, 070, 071",10439,1431,1134,297,637,491,1,5,568,546,0,20,539,525,0,70,449,550,0,135,0,0,0,0,0,0,0,0,249,46,0,2,195,102,0,0,
CAMER,0014,"PCT 016, 216, 251",10279,961,862,99,604,257,0,1,386,460,0,16,340,465,0,57,270,485,2,105,0,0,0,0,0,0,0,0,78,21,0,0,44,54,0,1,
CAMER,0015,"PCT 017, 162, 187, 249",11900,899,753,146,552,196,0,5,308,435,0,10,306,408,2,37,246,434,0,73,0,0,0,0,0,0,0,0,109,36,0,1,97,49,0,0,
CAMER,0016,"PCT 018, 093, 183, 201",1579,229,220,9,178,41,0,1,89,125,0,6,91,116,0,13,60,129,0,31,0,0,0,0,0,0,0,0,8,1,0,0,7,2,0,0,
CAMER,0017,"PCT 019, 031, 065",4815,761,631,130,381,250,0,0,341,275,0,15,312,274,0,45,222,314,0,95,0,0,0,0,0,0,0,0,109,20,0,1,70,58,0,2,
CAMER,0018,"PCT 020, 160, 161",3447,385,340,45,250,90,0,0,182,156,0,2,128,194,0,18,122,182,0,36,0,0,0,0,0,0,0,0,40,4,0,1,26,18,0,1,
CAMER,0019,"PCT 021, 051, 152",6499,757,593,164,361,230,0,2,317,262,0,14,259,296,0,38,219,291,0,83,0,0,0,0,0,0,0,0,146,18,0,0,124,40,0,0,
CAMER,0020,"PCT 022, 154, 260, 270",9239,1031,953,78,693,259,0,1,406,536,0,11,403,493,0,57,310,520,0,123,352,459,0,142,0,0,0,0,62,15,0,1,43,35,0,0,
CAMER,0021,"PCT 023, 046, 068, 268",8634,575,393,182,249,141,0,3,193,190,0,10,165,198,1,29,147,198,0,48,0,0,0,0,0,0,0,0,125,56,0,1,107,73,0,2,
CAMER,0022,"PCT 024, 084, 104, 132",9545,927,701,226,350,347,3,1,352,322,3,24,345,298,3,55,270,316,3,112,0,0,0,0,0,0,0,0,183,41,0,2,148,76,0,2,
CAMER,0023,"PCT 025, 144, 166, 210, 241",14705,1650,1405,245,956,441,0,8,697,678,0,30,537,770,1,97,446,798,1,160,0,0,0,0,0,0,0,0,190,54,0,1,156,88,0,1,
CAMER,0024,"PCT 026, 072, 138",5474,699,560,139,283,273,0,4,278,260,0,22,289,231,0,40,202,277,0,81,0,0,0,0,0,0,0,0,113,26,0,0,93,45,0,1,
CAMER,0025,"PCT 027, 174, 196",9395,744,619,125,429,190,0,0,269,342,0,8,254,326,0,39,204,337,0,78,0,0,0,0,0,0,0,0,86,38,0,1,85,40,0,0,
CAMER,0026,"PCT 028, 075, 105",6102,862,710,152,368,341,0,1,358,330,0,22,330,315,0,65,240,349,0,121,218,342,0,150,0,0,0,0,129,21,0,2,98,53,0,1,
CAMER,0027,"PCT 029, 252, 263",9278,699,650,49,464,186,0,0,279,355,0,16,270,314,0,66,217,327,0,106,280,253,0,117,0,0,0,0,38,11,0,0,28,21,0,0,
CAMER,0028,"PCT 030, 092, 264",9597,1031,825,206,502,320,0,3,404,406,0,15,375,395,0,55,276,431,0,118,394,313,0,118,0,0,0,0,166,40,0,0,116,89,0,1,
CAMER,0029,"PCT 032, 053, 063",6675,1105,908,197,495,409,0,4,475,417,0,16,421,433,0,54,334,469,0,105,0,0,0,0,0,0,0,0,173,24,0,0,116,80,0,1,
CAMER,0030,"PCT 033, 042, 217, 233",11891,1019,908,111,636,270,0,2,423,472,0,13,403,452,0,53,331,462,0,115,0,0,0,0,0,0,0,0,84,26,0,1,72,38,0,1,
CAMER,0031,"PCT 034, 121, 202, 269",7137,708,569,139,335,233,1,0,273,278,0,18,242,283,0,44,181,321,0,67,231,259,0,79,0,0,0,0,119,20,0,0,83,56,0,0,
CAMER,0032,"PCT 035, 192, 193, 194",12139,1096,995,101,735,257,0,3,447,539,0,9,455,480,0,60,339,554,0,102,0,0,0,0,0,0,0,0,74,26,0,1,66,34,0,1,
CAMER,0033,"PCT 036, 074, 136",5873,1040,867,173,426,439,1,1,457,373,1,36,417,345,2,103,357,346,2,162,0,0,0,0,0,0,0,0,143,28,0,2,133,39,0,1,
CAMER,0034,"PCT 038, 169, 211, 238, 242",18991,1524,1257,267,789,464,1,3,601,633,0,23,571,583,0,103,439,643,0,175,0,0,0,0,0,0,0,0,196,70,0,1,171,93,0,3,
CAMER,0035,"PCT 039, 062, 066, 266",7586,754,552,202,321,230,0,1,292,255,0,5,262,259,0,31,217,277,0,58,0,0,0,0,0,0,0,0,153,47,0,2,126,75,0,1,
CAMER,0036,"PCT 041, 128, 243",6838,1102,1023,79,673,348,0,2,540,464,0,19,453,491,0,79,296,577,0,150,0,0,0,0,0,0,0,0,68,10,0,1,64,14,0,1,
CAMER,0037,"PCT 043, 099, 231",8925,706,566,140,402,162,0,2,278,283,0,5,221,315,1,29,167,347,0,52,0,0,0,0,0,0,0,0,109,31,0,0,86,53,0,1,
CAMER,0038,"PCT 045, 179, 247",10541,2155,1938,217,1118,815,0,5,912,981,0,45,904,876,0,158,719,928,1,290,0,0,0,0,0,0,0,0,196,21,0,0,87,130,0,0,
CAMER,0039,"PCT 047, 141, 158",8888,1000,764,236,468,295,0,1,372,383,0,9,349,364,0,51,289,397,0,78,0,0,0,0,0,0,0,0,181,55,0,0,147,89,0,0,
CAMER,0040,"PCT 048, 055, 078, 265",12466,1204,901,303,466,429,0,6,487,396,0,18,412,412,0,77,327,426,0,148,0,0,0,0,0,0,0,0,234,69,0,0,225,74,0,4,
CAMER,0041,"PCT 050, 054, 058, 219",15039,1235,967,268,600,365,0,2,487,467,0,13,430,489,0,48,356,491,0,120,0,0,0,0,0,0,0,0,216,50,0,2,154,110,0,4,
CAMER,0042,"PCT 052, 061, 103",7739,662,517,145,314,200,0,3,283,224,0,10,237,254,0,26,193,269,0,55,0,0,0,0,0,0,0,0,108,37,0,0,84,60,0,1,
CAMER,0043,"PCT 056, 083, 133, 232",14775,1318,1129,189,791,336,0,2,478,636,0,15,483,566,0,80,404,575,0,150,0,0,0,0,0,0,0,0,133,55,0,1,112,74,0,3,
CAMER,0044,"PCT 057, 097, 102",5369,933,826,107,486,338,1,1,442,361,1,22,387,382,1,56,310,402,1,113,0,0,0,0,0,0,0,0,90,17,0,0,66,41,0,0,
CAMER,0045,"PCT 059, 168, 227",10286,1060,915,145,582,329,0,4,418,476,0,21,389,455,0,71,307,489,0,119,0,0,0,0,0,0,0,0,113,29,0,3,86,56,0,3,
CAMER,0046,"PCT 060, 165, 175",6424,881,810,71,516,293,0,1,388,410,0,12,349,405,1,55,278,411,0,121,0,0,0,0,0,0,0,0,54,16,0,1,44,26,0,1,
CAMER,0047,"PCT 064, 069, 076",9601,1502,1241,261,718,517,0,6,689,523,0,29,560,593,0,88,442,640,1,158,0,0,0,0,0,0,0,0,222,37,0,2,162,98,0,1,
CAMER,0048,"PCT 073, 088, 115",6247,676,497,179,248,242,2,5,246,229,2,20,231,210,2,54,197,211,2,87,0,0,0,0,0,0,0,0,151,28,0,0,115,61,0,3,
CAMER,0049,"PCT 077, 085, 091, 267",9369,989,763,226,415,346,0,2,393,359,0,11,368,345,0,50,288,393,0,82,0,0,0,0,0,0,0,0,184,42,0,0,133,93,0,0,
CAMER,0050,"PCT 079, 142, 164",7765,1429,1036,393,433,594,3,6,485,521,3,27,559,384,3,90,446,425,3,162,0,0,0,0,0,0,0,0,354,38,0,1,279,111,0,3,
CAMER,0051,"PCT 080, 095, 145, 151",10257,954,767,187,510,255,1,1,357,399,0,11,332,387,0,48,284,398,1,84,0,0,0,0,0,0,0,0,150,35,0,2,105,81,0,1,
CAMER,0052,"PCT 081, 112, 137",7988,1070,900,170,435,462,0,3,412,465,0,23,429,395,0,76,339,419,0,142,365,379,1,155,0,0,0,0,154,16,0,0,117,52,0,1,
CAMER,0053,"PCT 086, 108, 124",9129,1152,950,202,497,449,0,4,478,445,0,27,434,427,0,89,358,427,0,165,358,391,0,201,0,0,0,0,179,22,0,1,149,52,0,1,
CAMER,0054,"PCT 087, 234, 244",10367,820,678,142,385,291,0,2,348,287,0,43,281,320,0,77,219,340,0,119,360,194,0,124,0,0,0,0,117,24,0,1,90,49,0,3,
CAMER,0055,"PCT 089, 235",5104,562,487,75,273,212,0,2,223,254,0,10,164,280,0,43,170,247,1,69,209,192,0,86,0,0,0,0,64,11,0,0,48,27,0,0,
CAMER,0056,"PCT 090, 123, 143",7259,1227,1125,102,511,612,0,2,563,530,0,32,553,467,0,105,430,495,0,200,357,514,0,254,0,0,0,0,89,13,0,0,69,32,0,1,
CAMER,0057,"PCT 094, 110, 125, 258",12146,1482,1180,302,655,523,0,2,592,561,0,27,563,539,0,78,463,572,0,145,0,0,0,0,0,0,0,0,244,57,0,1,215,85,0,2,
CAMER,0058,"PCT 101, 177, 184",11120,859,739,120,506,231,0,2,319,397,1,22,292,388,0,59,224,415,0,100,304,300,0,135,0,0,0,0,88,29,0,3,84,31,0,5,
CAMER,0059,"PCT 107, 119, 246",8449,1315,1060,255,612,446,0,2,546,495,0,19,491,502,0,67,375,550,0,135,0,0,0,0,0,0,0,0,216,39,0,0,171,82,0,2,
CAMER,0060,"PCT 109, 116, 176",13690,1607,1384,223,692,688,0,4,636,691,0,57,620,607,0,157,469,659,0,256,436,628,0,320,0,0,0,0,189,32,0,2,161,60,0,2,
CAMER,0061,"PCT 111, 117, 245",9855,1010,848,162,554,293,0,1,388,436,0,24,318,455,0,75,256,460,0,132,351,322,0,175,0,0,0,0,130,28,0,4,92,68,0,2,
CAMER,0062,PCT 114,5166,331,287,44,209,78,0,0,142,143,0,2,133,144,0,10,88,178,0,21,0,0,0,0,115,118,0,54,30,14,0,0,29,15,0,0,
CAMER,0063,"PCT 118, 146",8930,885,728,157,451,275,0,2,371,342,0,15,292,376,1,59,263,364,0,101,338,276,1,113,0,0,0,0,131,25,0,1,92,61,0,4,
CAMER,0064,"PCT 120, 130, 157, 218",16187,1803,1548,255,870,673,2,3,746,757,0,45,733,692,1,122,576,748,0,224,0,0,0,0,0,0,0,0,203,51,0,1,167,87,0,1,
CAMER,0065,"PCT 126, 129, 156, 230",17927,1624,1334,290,886,446,0,2,668,646,0,20,604,637,0,93,446,726,0,162,0,0,0,0,0,0,0,0,233,56,0,1,163,124,0,3,
CAMER,0066,"PCT 127, 134, 253",11437,886,707,179,487,219,0,1,313,381,0,13,292,370,0,45,243,391,0,73,284,338,0,85,0,0,0,0,135,44,0,0,111,68,0,0,
CAMER,0067,"PCT 131, 203, 236",9195,1442,1264,178,774,488,0,2,593,647,0,24,538,618,1,107,419,661,0,184,465,596,1,202,0,0,0,0,150,28,0,0,117,61,0,0,
CAMER,0068,"PCT 135, 139, 197",9299,822,664,158,416,246,0,2,334,316,0,14,286,320,0,58,237,333,0,94,226,335,0,103,0,0,0,0,125,31,0,2,106,50,0,2,
CAMER,0069,"PCT 140, 173, 206",7270,1125,987,138,609,376,0,2,432,532,0,23,416,504,0,67,315,546,1,125,447,398,0,142,0,0,0,0,118,20,0,0,69,66,0,3,
CAMER,0070,"PCT 148, 159, 237",7022,467,384,83,247,136,0,1,167,208,0,9,167,186,0,31,130,205,0,49,0,0,0,0,0,0,0,0,65,18,0,0,48,35,0,0,
CAMER,0071,"PCT 149, 204, 259",8697,963,840,123,562,278,0,0,350,469,0,21,352,430,0,58,302,431,1,106,0,0,0,0,0,0,0,0,105,15,0,3,68,53,0,2,
CAMER,0072,"PCT 150, 185, 198",9974,1229,1046,183,718,326,0,2,485,549,0,12,497,479,0,70,417,521,0,108,0,0,0,0,0,0,0,0,157,25,0,1,115,68,0,0,
CAMER,0073,"PCT 153, 170, 205",7157,677,565,112,390,173,0,2,265,292,0,8,265,259,0,41,230,263,0,72,0,0,0,0,0,0,0,0,78,33,0,1,68,44,0,0,
CAMER,0074,"PCT 155, 180, 221",8473,907,803,104,551,251,0,1,385,407,0,11,339,415,1,48,268,437,0,98,355,340,0,108,0,0,0,0,80,24,0,0,58,46,0,0,
CAMER,0075,"PCT 163, 213, 226",10130,754,608,146,415,192,0,1,285,314,0,9,270,299,0,39,217,322,0,69,250,266,0,92,0,0,0,0,117,29,0,0,81,65,0,0,
CAMER,0076,"PCT 171, 182, 222, 223",13529,1445,1226,219,680,544,0,2,554,644,0,28,598,522,1,105,477,591,2,156,0,0,0,0,0,0,0,0,182,34,0,3,135,82,0,2,
CAMER,0077,"PCT 172, 181, 188",7905,631,554,77,400,153,0,1,235,310,0,9,243,269,0,42,201,298,0,55,0,0,0,0,0,0,0,0,56,20,0,1,50,26,0,1,
CAMER,0078,"PCT 178, 199",7841,769,702,67,498,203,1,0,350,339,0,13,269,368,0,65,207,370,0,125,274,287,1,140,0,0,0,0,53,12,0,2,42,23,0,2,
CAMER,0079,"PCT 190, 239",5297,592,555,37,371,184,0,0,255,281,0,19,224,283,0,48,174,287,0,94,215,212,0,128,0,0,0,0,28,9,0,0,26,11,0,0,
CAMER,0080,"PCT 195, 255",4366,416,365,51,250,115,0,0,180,179,0,6,152,188,0,25,123,199,0,43,0,0,0,0,0,0,0,0,47,4,0,0,31,20,0,0,
CAMER,0081,"PCT 207, 208",8640,982,864,118,595,268,0,1,401,438,0,25,351,443,0,70,282,461,0,121,343,370,0,151,0,0,0,0,99,19,0,0,76,42,0,0,
CAMER,0082,"PCT 209, 271, 272",1169,95,85,10,62,23,0,0,37,48,0,0,26,53,0,6,25,48,0,12,39,31,0,15,0,0,0,0,10,0,0,0,6,4,0,0,
CAMER,0083,"PCT 212, 225, 250",10745,718,563,155,351,207,0,5,248,297,0,18,236,286,0,41,211,287,0,65,226,263,0,74,0,0,0,0,121,31,0,3,88,63,0,4,
CAMER,0084,"PCT 214, 224",7249,1096,1035,61,686,347,0,2,472,547,0,16,447,505,0,83,346,531,0,158,437,418,0,180,0,0,0,0,50,11,0,0,29,32,0,0,
CAMER,0085,"PCT 220, 229, 248",7473,456,380,76,275,105,0,0,182,191,0,7,147,203,0,30,140,197,0,43,152,168,2,58,0,0,0,0,67,8,0,1,54,20,0,2,
CAMER,0086,"PCT 228, 254",6202,291,212,79,171,40,1,0,105,106,0,1,80,121,0,11,74,117,0,21,0,0,0,0,0,0,0,0,47,30,0,2,46,33,0,0,
CAMER,0087,LB01,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CAMER,0088,LB02,0,43,37,6,25,12,0,0,21,15,0,1,14,17,0,6,16,13,0,8,0,0,0,0,0,0,0,0,6,0,0,0,2,4,0,0,
CAMER,ZZZ,COUNTY TOTALS,763523,80677,67909,12768,42227,25490,21,171,32331,34134,16,1427,30030,32889,25,4964,24002,34782,27,9097,9369,9946,6,4039,115,118,0,54,10341,2350,1,76,7969,4693,0,106,
